"decade","pop_10","w_farm_10","w_lab_10","w_craft_10","w_help_05","allen_w","d_hw","inc_hw","broad_pop_hf","broad_pop_lf","pop_ind","pop_nb_com","pop_07","efficiency_DE","efficiency_NDP","efficiency_DE16","efficiency_NDP16","allen05_TFP_agriculture","capital_stock_gross","capital_stock_net","interest_rate","wrigley_prod","allen_prod","w_ind","rent_ind","r_land","r_rents","land_share","capital_share","wrigley_pop"
1600,4.40106935075885,71.0759571780208,49.2867929722062,46.262024653298,43.6,49.2867929722062,177.287933587702,1.66,4.2668499,4.2668499,,,,56.6,52.2,61.4843406443621,57.1372812732675,,,,6.52,143.445483735865,0.405031998047025,0.223843581851265,0.210580500866951,5.33238115472253,5.92757979086691,0.253,0.202,4.40106935075885
1610,4.73310581787521,65.7847495786373,45.4085704889856,44.1987687204221,41.8,45.4085704889856,194.135054722356,1.61,4.5404033,4.5404033,,,,54.3,50.2,58.9444876732814,54.7770007192189,,,,5.99,,,0.210213125145292,0.20990128255011,5.50021737995494,5.83498677943072,0.248,0.209,4.73310581787521
1620,5.01755744097808,68.2397857344869,46.3874916580785,45.9086374855886,43.5,46.3874916580785,195.096140213026,1.57,4.8201902,4.8201902,,,,55.7,51.5,60.6544267789099,56.3660438904482,,,,6.34,,,0.217525932132387,0.211134878508919,5.44371183655701,6.17842262365603,0.232,0.215,5.01755744097808
1630,5.20895425801012,62.3351896019323,43.3889848223388,41.5509188450216,40.7,43.3889848223388,187.299683149699,1.49,5.1021934,5.1021934,,,,52.3,48.3,56.4656237323734,52.4733971553608,,,,5.9,,,0.200322242631173,0.199398640215812,5.26495605928733,5.78399141159659,0.231,0.209,5.20895425801012
1640,5.42467221753794,64.125540348183,46.670277004363,45.9050833230872,43.8,46.670277004363,209.900371679515,1.53,5.2437529,5.2437529,,,,54,49.9,58.1492057719542,54.0379467550477,,,,5.68,,,0.207521941570576,0.206872393710286,5.27846384528384,5.62050771178253,0.227,0.202,5.42467221753794
1650,5.61289671163575,69.9664305742507,52.4350853291591,51.4147738298175,48.8,52.4350853291591,201.533548964672,1.75,5.3480783,5.3480783,,,,56.9,52.6,61.0289867182576,56.7141217324469,,,,5.63,,,0.2266012910786,0.210398316464389,5.30616742387318,5.53693445426328,0.211,0.201,5.61289671163575
1660,5.58328836424958,71.7523623106123,53.5191892708173,53.5164343909666,50.5,53.5191892708173,193.533506579165,1.75,5.2069983,5.2069983,,,,58.2,53.8,62.0881140171342,57.6983667246824,,,,5.4,,,0.236084166422386,0.22252923363377,5.54833701671567,5.36536817994935,0.214,0.202,5.58328836424958
1670,5.45533800590219,67.4615473574546,56.169416197574,54.2405420294735,53.4,56.169416197574,240.266185328114,1.97,5.1820592,5.1820592,,,,56.1,51.8,59.8616624752434,55.6293295250132,,,,5.5,165.448504983389,,0.229971776507177,0.200088913455341,5.38899470403282,5.45257514090964,0.203,0.207,5.45533800590219
1680,5.40246595699831,71.3579190544184,60.4668262123523,57.7763428770734,56.1,60.4668262123523,209.334297858859,1.9,5.0148557,5.0148557,,,,58.9,54.4,62.7344245499089,58.198330990111,,,,5.28,,,0.243228494670551,0.219223725552895,4.92457693493103,5.2327345503006,0.211,0.209,5.40246595699831
1690,5.38660434232715,62.025545998111,54.4878413485976,53.6056387293859,51.1,54.4878413485976,259.899402084784,1.93,5.120713,5.120713,,,,54,50.1,56.9998402665294,53.0793970330501,,,,4.9,,,0.214824829112572,0.190810299275365,4.9970492225956,4.94619206136417,0.21,0.199,5.38660434232715
1700,5.50955783926219,70.0939144433778,58.1725135183918,60.8272909989334,51.8,58.1725135183918,237.213294828967,2.03,5.2581442,5.2581442,,,,58.7,54.6,61.1447902409628,57.1859322954213,1.43,,,4.67,182.106096595408,0.623458263287685,0.236532936362608,0.204950754675886,4.80411917374901,4.63776699814389,0.201,0.206,5.50955783926219
1710,5.69144727272727,65.0090017536444,53.8930004943963,57.3920813820382,50.8,53.8930004943963,230.210877514519,2.13,5.407477,5.407477,,,,57.8,53.5,60.3171179212467,56.1687458922797,,,,4.96,,,0.224256905252151,0.209727118314557,4.93349378074667,4.90123885150982,0.207,0.208,5.69144727272727
1720,5.81940437417655,64.4431460289623,55.4748296843666,58.59582050921,52.8,55.4748296843666,247.369429683881,2.15,5.5427062,5.5427062,,,,59.2,54.7,60.7394736466895,56.4370250869252,,,,4.38,,,0.225172438037154,0.225740618906486,4.15406661287714,4.32385774370453,0.213,0.208,5.81940437417655
1730,5.72528716732543,77.6929299590484,62.0729200915587,65.7071359484581,57.7,62.0729200915587,231.53854837289,2.25,5.5308284,5.5308284,,,,65.1,60.3,66.4222059086759,61.7881628980095,,,,4.14,,,0.26192734049724,0.235733939647694,4.22996097771975,4.06009754830048,0.201,0.206,5.72528716732543
1740,6.05205364953887,74.4250646721755,60.8028216719312,65.0449198703656,57.4,60.8028216719312,229.503793321874,2.24,5.7459465,5.7459465,,,,63,58.5,64.6564966176472,60.2420052967301,,,,4.24,,,0.254251479403117,0.216297954489262,3.84639631207753,4.32665185820878,0.185,0.208,6.05205364953887
1750,6.2625,71.0620635203552,58.5327697033586,59.9476315199901,56.4,58.5327697033586,247.263192203435,2.34,6.0672053,6.0672053,,,,64.4,59.5,65.6272985682946,60.9463385061774,1.88,,,4.26,218.643425539977,0.834268269446373,0.248185319647036,0.258389140077517,4.42174360175195,4.1525474944683,0.207,0.216,6.2625
1760,6.65731490132738,70.9937959156324,58.6972794724004,58.7273741219587,56.8,58.6972794724004,257.006529389138,2.27,6.3948494,6.3948494,,,,64.6,59.5,66.063291345502,61.1915893594776,,449,248,4.04,,,0.247562042890288,0.252931191688943,3.99042927509637,3.96697166964295,0.195,0.221,6.65731490132738
1770,7.01323410132768,68.3606008609344,57.4039639537209,55.415354925959,56.1,57.4039639537209,304.621551759137,2.62,6.8286805,6.8286805,,,,64.4,59.6,66.1411174039412,61.5379329850965,,470,257,4.15,,,0.247462756918816,0.269666012609924,3.60604597282614,4.03887020243386,0.202,0.215,7.01323410132768
1780,7.59105023276775,71.0143129817897,56.8827686231736,56.8025901974116,55.2,60.6709932660171,308.845898434149,2.89,7.37434,7.37434,,,,65,60,67.7627068527559,62.9539380242373,,507,281,3.95,,,0.257233497508429,0.260050483482582,3.75701632135143,3.84600520300082,0.186,0.211,7.59105023276775
1790,8.27706518674551,72.6963362693116,58.0096790152113,56.8642817850129,56,64.4235253863326,286.515454892955,2.52,8.1388564,8.1388564,,,,67.7,62.9,70.5853263678244,65.9414851410151,,561,315,4.1,,,0.264435968763007,0.28363308876741,3.5731111288212,4.0613969874151,0.184,0.226,8.27706518674551
1800,9.09420142416016,67.3358221808278,56.8735540062362,55.9025261871117,55.2,63.3547448992346,330.457689110722,2.86,9.0614006,9.0614006,,,,69.6,67.4,72.9956146274554,70.9500098909039,1.79,637,364,4.38,275.796178343949,0.765569965795633,0.260566965500067,0.295370053189968,3.6623485634787,4.3988845613441,0.177,0.246,9.09420142416016
1810,10.30856733237,71.4115743540418,63.254903101304,60.8051483466679,62.5,61.6824574493906,314.77113802227,2.94,10.3971745,10.3971745,,,,74.6,72.1,77.4356623373984,75.0810269534828,,733,422,4.63,,,0.282073982324849,0.332631589923872,3.48175138469337,4.59828312440054,0.165,0.25,10.30856733237
1820,11.9821037427701,78.081589830196,71.2129120262938,72.500372154253,67.7,64.3291220625511,340.080585287303,3.62,12.097255,12.097255,,,,79.9,77.5,82.4754427544523,80.2598150546636,,851,497,4.48,,,0.316446475731637,0.352063493667944,3.55624053472443,4.36448413422782,0.14,0.251,11.9821037427701
1830,13.7731758262135,83.8928135287784,80.3901141585269,80.2958605449091,78.5,70.5529983375757,344.410559606725,3.79,13.834057,13.834057,,,,84.7,83,87.7233626636531,86.4310228437044,,1018,609,4.85,,,0.351164684369859,0.362340170814785,3.5403710354638,4.78346892583397,0.116,0.26,13.7731758262135
1840,15.6364819639595,90.6049822684336,85.6354929895578,83.4391774825316,84.9,77.6130183375223,345.511611152134,3.83,15.581805,15.581805,,,,89,88.1,90.8031710510828,90.3935374295271,,1277,789,4.28,,,0.382012611128137,0.404189239309591,3.64918063234653,4.16236740439838,0.108,0.247,15.6364819639595
1850,17.5896138336628,98.2709281124461,92.2318708785263,91.2516682549998,92.4,85.431636474999,,,17.4656158,17.4656158,,,,95.1,95.2,96.1506938618405,96.7272151085061,2.62,1642,1037,4.1,,,0.419318934468511,0.423009540369231,3.03093006698707,4.09123548904419,0.092,0.257,17.5896138336628
1860,19.7222359588642,100.013082885983,100.1103605605,100.049356488402,100,89.9056797127876,,,19.8187728,19.8187728,,,,100,100,100.000023103293,100.508974253802,,2034,1271,4.27,,,0.446822069609854,0.431982655306674,2.70332628399043,4.24294668186275,0.077,0.272,19.7222359588642
